[ 2016-11-29T10:12:41+08:00 ] ::1 /CESBack/index.php/Home/Method/expUser
INFO: [ app_init ] --START--
INFO: Run Behavior\BuildLiteBehavior [ RunTime:0.000012s ]
INFO: [ app_init ] --END-- [ RunTime:0.000447s ]
INFO: [ app_begin ] --START--
INFO: Run Behavior\ReadHtmlCacheBehavior [ RunTime:0.000516s ]
INFO: [ app_begin ] --END-- [ RunTime:0.000548s ]
SQL: SHOW COLUMNS FROM `tb_user` [ RunTime:0.0014s ]
SQL: SELECT `stu_name`,`stu_num`,`stu_sex`,`stu_pro`,`stu_graclass`,`stu_class`,`is_base`,`is_onset`,`stu_type`,`stu_phone`,`stu_qq`,`is_match` FROM `tb_user`  [ RunTime:0.0091s ]
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
NOTIC: [8] Undefined index: sex /Users/lawrance/Data/CESBack/CESBack/Home/Controller/MethodController.class.php 第 191 行.
